Time,Open,High,Low,Last,Change,%Chg,Volume
05/20/2022,24.5502,24.6732,24.471,24.4793,-0.0711,-0.29%,37484
05/19/2022,24.5342,24.7114,24.4978,24.5504,0.0123,+0.05%,40713
05/18/2022,24.5837,24.7024,24.5317,24.5381,-0.0463,-0.19%,36265
05/17/2022,24.5913,24.726,24.5752,24.5844,-0.0073,-0.03%,39290
05/16/2022,24.7254,24.7541,24.581,24.5917,-0.0336,-0.14%,36719
05/13/2022,24.8344,24.9559,24.6185,24.6253,-0.2111,-0.85%,40005
05/12/2022,25.2773,25.4609,24.8315,24.8364,-0.4412,-1.75%,45030
05/11/2022,24.8675,25.4457,24.8576,25.2776,0.4093,+1.65%,40176
05/10/2022,24.9037,25.0358,24.8536,24.8683,-0.0349,-0.14%,42206
05/09/2022,25.0151,25.0984,24.8549,24.9032,0.0159,+0.06%,42164
05/06/2022,24.4491,25.0423,24.4244,24.8873,0.438,+1.79%,45229
05/05/2022,24.4572,24.638,24.4493,24.4493,-0.0086,-0.04%,42541
05/04/2022,24.5143,24.6689,24.4364,24.4579,-0.0555,-0.23%,37864
05/03/2022,24.5652,24.7186,24.5109,24.5134,-0.0518,-0.21%,37793
05/02/2022,24.6166,24.7061,24.4563,24.5652,0.0868,+0.35%,37648
04/29/2022,24.4345,24.6375,24.4149,24.4784,0.0441,+0.18%,40538
04/28/2022,24.3879,24.5658,24.378,24.4343,0.0465,+0.19%,42919
